"id","data_hora","titulo","trecho","link"
531,2013-10-24 16:30:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de anúncio do resultado da seleção de saneamento e pavimentação do PAC2 - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-anuncio-do-resultado-da-selecao-de-saneamento-e-pavimentacao-do-pac2"
532,2013-10-21 21:40:00,"Pronunciamento da Presidenta da República em rede nacional sobre o leilão do Campo de Libra",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/pronunciamento-da-presidenta-da-republica-dilma-rousseff-em-rede-nacional-de-radio-e-televisao-sobre-o-leilao-do-campo-de-libra"
533,2013-10-11 19:30:00,"Discurso da Presidenta da República durante cerimônia de inauguração de unidades de educação infantil - Novo Hamburgo/RS",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-de-unidades-de-educacao-infantil"
534,2013-10-21 21:50:00,"Discurso de la Presidenta de la República en la red nacional sobre la subasta del Campo de Libra",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-de-la-presidenta-de-la-republica-dilma-rousseff-en-la-red-nacional-de-radio-y-television-sobre-la-subasta-del-campo-de-libra"
535,2013-10-21 21:45:00,"Address by President Dilma Rousseff on the Libra Oil Field Auction",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/address-by-president-dilma-rousseff-on-the-libra-oil-field-auction"
536,2013-10-25 17:05:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de anúncio de investimentos do PAC Mobilidade Urbana - São Paulo/SP",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-anuncio-de-investimentos-do-pac-mobilidade-urbana"
537,2013-10-29 18:05:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de anúncio de investimentos do PAC Mobilidade Urbana - Curitiba/PR",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-anuncio-de-investimentos-do-pac-mobilidade-urbana-curitiba-pr"
538,2013-10-28 00:50:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de premiação “As empresas mais admiradas no Brasil” - São Paulo/SP",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-premiacao-201cas-empresas-mais-admiradas-no-brasil201d-sao-paulo-sp"
539,2013-10-29 00:40:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração conjunta da Linha de 500 kV entre Villa Hayes e a subestação de energia da margem direita de Itaipu Binacional - Hernandárias/Paraguai",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-conjunta-da-linha-de-500-kv-entre-villa-hayes-e-a-subestacao-de-energia-da-margem-direita-de-itaipu-binacional-hernandarias-paraguai"
540,2013-10-30 17:00:00,"Discurso da Presidenta da República, Dilma Rousseff, durante celebração dos 10 anos do Programa Bolsa Família - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-celebracao-dos-10-anos-do-programa-bolsa-familia-brasilia-df"
541,2013-11-01 16:50:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração da Via Expressa Baía de Todos os Santos - Salvador/BA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-da-via-expressa-baia-de-todos-os-santos-salvador-ba"
542,2013-11-05 23:05:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de abertura da 3ª Conferência Nacional de Promoção da Igualdade Racial - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-abertura-da-3a-conferencia-nacional-de-promocao-da-igualdade-racial-brasilia-df"
543,2013-11-07 14:30:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de assinatura de decreto de adaptação das rádios AM para FM - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-assinatura-de-decreto-de-adaptacao-das-radios-am-para-fm-brasilia-df"
544,2013-11-07 19:35:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de anúncio de investimentos do PAC2 Mobilidade Urbana para Guarulhos e Osasco - Guarulhos/SP",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-anuncio-de-investimentos-do-pac2-mobilidade-urbana-para-guarulhos-e-osasco-guarulhos-sp"
545,2013-11-08 16:20:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de conclusão da Plataforma P-58 - Rio Grande/RS",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-conclusao-da-plataforma-p-58-rio-grande-rs"
546,2013-11-11 19:35:00,"Declaração à imprensa da Presidenta da República, Dilma Rousseff, após cerimônia de assinatura de atos - Lima/Peru",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/declaracao-a-imprensa-da-presidenta-da-republica-dilma-rousseff-apos-cerimonia-de-assinatura-de-atos-lima-peru"
